Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Darshanalu- Nidarshanalu,NIL,Dr. Mopidevi Krishna Swami,Advaita,,Telugu,NA(I5),3233,"Manava Dharma Shikshana Samsta, Vishakaptanam,",2009,ADV-MK,,1087,,
Dasasloki-Advaita Pancharatnam & Dhanyastakam,Of Sri Sanakara Bhagawat Padacharya,R. Krishnaswami Aiyar,Advaita,,English,5,302,"Sri Vani Vilas Press, Srirangam",1965,ADV- ADI,,1088,,
Dharma Khandamu,Tika Tatparya Sahitam,Tiruvalluvanaya ,Advaita,,Telugu,5,513,NA,NA,ADV- Tiruval,,1089,,
Divyopadesham,NIL,Acharya Kasi Reddy,Advaita,,Telugu,RRB4,NIL,"A.P.Divine Life Society, Secunderabad",2006,ADV- AKR,,1090,,
DRG-DRSYA Viveka,An Enquiry Into The Nature of the Seer & The Seen,Swami Nikhilananda,Advaita,,English,5,618,"Sri Ramakrishna Matt, Mylapore, Madras",1948,ADV-SN,,1091,,
Drik Drishya  Vivekam,ShankaraBhagavadpadavirac,Poluri Hanumajanakiramashrma,Advaita,,Telugu,NA,2631,Wedun Press Mdras,1996,ADV-PHS,,1092,,
Drik Drishya  Vivekam,NIL,Poluri Hanumajjanakirama Sharma,Advaita,,Telugu,NA,NA,Sarvaswamulu Ramanashramam,1981,ADV-,,1093,,
Drik Drisya Vivekam,Drik - Drishyamula Madhya Bedham,Dr.M.Ramamurthy,Advaita,,Telugu,RRB1,NA,"Chinamayaranyam Publications Trust, Bheemavaram",2006,ADV-,,1094,,
Drik Drsya Viveka,,Swami Tejomayananda,Advaita,,English,,3397,"Central Chinmaya Mission Trust, Mumbai",1997,ADV- SwTejo,,1095,,
Drik-Drsya-Viveka,,Swami Nikhilananda,Advaita,,English,,na,"Advaita Ashrama, Calcutta",1998,ADV- SwNi,,1096,,
